id;direccion;latitud;longitud;nombre
6; ;-35137317600;-60452377800;Bragado - Caminera (Buenos Aires - ARG)
7; ;-35838385600;-61874721100;Pehuajo - ESSO (Buenos Aires - ARG)
8; ;-35636855700;-61353562500;Carlos Casares - Shell (Buenos Aires - ARG)
10; ;-34905308000;-57955514800;La Plata - Terminal (Buenos Aires - ARG)
11; ;-35451965600;-60881273700;9 de Julio - Terminal (Buenos Aires - ARG)
13; ;-34920677900;-59986048900;Chivilcoy - Parador La Posta (Buenos Aires - ARG)
14;Estacion+de+Servicio+-+RN14+KM+683 ;-28581157000;-56086242000;Santo Tome - AXION (Corrientes - ARG)
17; ;-29086626700;-56554189300;Alvear - Terminal (Corrientes - ARG)
18; ;-27376712000;-55575885800;Santa Ana - Cruce (Misiones - ARG)
20;Estados+Unidos+532%2C+R8402+Dina+Huapi%2C+R%C3%ADo+Negro ;-41074606000;-71170667900;Dina Huapi - Agencia (Rio Negro - ARG)
21; ;-25967748600;-54571709600;Wanda - Terminal (Misiones - ARG)
24;Av.+Gaona+5949%2C+Moreno%2C+Provincia+de+Buenos+Aires ;-34634650000;-58787100000;Moreno - Parador Dover (Buenos Aires - ARG) (Buenos Aires - ARG)
25; ;-27918406700;-55750755100;Apostoles - Terminal (Misiones - ARG)
26; ;-26026476000;-54586515400;Puerto Esperanza - SHELL (Misiones - ARG)
27; ;-39003177500;-67847657200;Allen - PUMA (Rio Negro - ARG)
28;Av.+Ant%C3%A1rtida+Argentina%2C+Calle+10+y%2C+Buenos+Aires ;-34586690000;-58374410000;(BUE) Retiro - Terminal (Capital Federal - ARG) (Buenos Aires - ARG)
30; ;-39096978800;-67087036400;Villa Regina - Terminal (Rio Negro - ARG)
33; ;-27047392300;-55243849800;Jardin America - Terminal (Misiones - ARG)
38;Av.+Las+Am%C3%A9ricas+970 ;-27096434208;-54894989374;Aristobulo del Valle - Agencia (Misiones - ARG) (Misiones - ARG)
39; ;-27616280600;-55321698200;Leandro N. Alem - Terminal (Misiones - ARG)
40; ;-39290069900;-65657300900;Choele Choel - Terminal (Rio Negro - ARG)
41; ;-38735776500;-62246477900;Bahia Blanca - Terminal (Buenos Aires - ARG)
43; ;-25598157800;-54570550900;Puerto Iguazu - Terminal (Misiones - ARG)
45; ;-34665815700;-59404583600;Mercedes - Rotonda (Buenos Aires - ARG)
46; ;-27504151000;-55121208400;Obera - Terminal (Misiones - ARG)
47; ;-27593186800;-56686373900;Ituzaingo (Transfer) - directo (Corrientes - ARG)
48; ;-40051944200;-70080505000;Piedra del Aguila - Terminal (Neuquen - ARG)
49; ;-26568550300;-54758176900;Montecarlo - Terminal (Misiones - ARG)
50; ;-36276385900;-63150937600;Pellegrini - YPF (Buenos Aires - ARG)
53; ;-25921758800;-54575572000;Puerto Libertad - Garita (Misiones - ARG)
54; ;-35432290000;-58808119300;San Miguel del Monte - YPF Abandonada (Buenos Aires - ARG)
56; ;-39183355900;-65955618300;Belisle - Agencia (Rio Negro - ARG)
58; ;-27204948400;-54979520700;Campo Grande - Agencia (Misiones - ARG)
59; ;-36028311000;-59083304000;Las Flores - YPF Ruta 3 km 187.3 (Buenos Aires - ARG)
60; ;-36000802400;-62721226200;Trenque Lauquen - Estacion de Servicio (Buenos Aires - ARG)
61; ;-27329003700;-55052586800;Campo Viera - Terminal (Misiones - ARG)
62; ;-27191090200;-55469627400;Gobernador Roca - Iglesia (Misiones - ARG)
63; ;-39513156400;-69292606100;Picun Leufu - Terminal (Neuquen - ARG)
65; ;-38831041200;-68073483100;Cinco Saltos (Rio Negro - ARG)
66; ;-26926863600;-55060157300;Capiovi - Terminal (Misiones - ARG)
67; ;-27260952900;-55531500600;San Ignacio - Terminal (Misiones - ARG)
69; ;-27402937400;-55915045700;Posadas - Terminal (Misiones - ARG)
70; ;-36416810300;-63423793300;Catrilo - Caminera (La Pampa - ARG)
